polarity	pos	neg	neu	compound	text	username
neutro	0.0	0.0	1.0	0.0	Ecuador, Perú y Chile coordinan “una migración segura” de venezolanos en la región http://bit.ly/2ZNtFzs	ElTocuyano
neutro	0.0	0.0	1.0	0.0	Cancillería de Ecuador declara emergencia para atender migración venezolana http://ow.ly/s53v30lkSfR pic.twitter.com/Xr4hAVNjx5	24-7Digital
neutro	0.0	0.0	1.0	0.0	"""¡No más xenofobia! En #Ecuador le tienen el ojo puesto a los posibles casos de acoso contra venezolanos -"""" http://bit.ly/34LydcR """	CaraotaDigital
positivo	0.803	0.0	0.197	0.4019	ACNUR aplaude decisión de Ecuador en favor de los migrantes venezolanos https://news.un.org/es/story/2018/08/1439442 …	Jorge Sánchez
neutro	0.0	0.0	1.0	0.0	"""Ecuador analizaba el lunes la posibilidad de abrir un corredor humanitario para migrantes venezolanos que quieren llegar a Perú y otros territorios."	Noticias de Aqui
neutro	0.0	0.0	1.0	0.0	La iniciativa gubernamental de regularizar a los venezolanos radicados en Ecuador genera expectativa entre los migrantes que viven en varias provincias del país. #VozLaicaInformahttps://www.eluniverso.com/noticias/2019/07/29/nota/7446684/esperanza-venezolana-ante-visa-humanitaria?device=mobile …	Carlos León León
neutro	0.0	0.0	1.0	0.0	Colombia le pidió a Ecuador que revise la imposición de visa a los migrantes venezolanos https://www.radiosantiago.cl/archivo/101065  vía @Radio Santiago AM 690	#SantiagoNoticias
neutro	0.0	0.0	1.0	0.0	#Migración | A partir del 26 de agosto los venezolanos requerirán presentar algunos de los diferentes tipos de visas que establece la ley para entrar a Ecuador. https://pst.cr/i8vL7  | Vía @victoriainojosa #Derechos	Crónica.Uno
neutro	0.0	0.227	0.773	-0.6249	Alcalde pide ayuda por brutal aumento de migrantes venezolanos que cruzan de Colombia a Ecuador https://www.biobiochile.cl/noticias/internacional/america-latina/2019/08/25/alcalde-pide-ayuda-por-brutal-aumento-de-migrantes-venezolanos-que-cruzan-de-colombia-a-ecuador.shtml …	INDIVIDUO LIBRE
neutro	0.0	0.091	0.909	-0.296	y Ecuador .....no tiene control para estos inmigrantes.......se dice no a la mendicidad...y eso está colapsado de venezolano en las calles. poner controles y vigilancia...... https://twitter.com/eluniversocom/status/1147563670270107648 …	CHELITA
neutro	0.0	0.0	1.0	0.0	Que voto si la Sra. Atamain @cnegobec @DianaAtamaint ya les va a permitir votar en Ecuador, pero como siempre la @DEFENSORIAEC con su acomodo ideológico quiere matar ecuatorianos en vientres, ver matar a ecuatorianos en calles, pero proteger a venezolanos asesinos	acro316
neutro	0.0	0.0	1.0	0.0	Ecuador recibirá una donación japonesa para ofrecer alimentos a migrantes venezolanos - https://elportal24.com/2019/11/ecuador-recibira-una-donacion-japonesa-para-ofrecer-alimentos-a-migrantes-venezolanos/ …pic.twitter.com/ZyivP3dsmk	ElPortal24
neutro	0.0	0.0	1.0	0.0	Ecuador, Perú y Chile acuerdan cooperación para enfrentar masiva migración venezolana https://buff.ly/2PQSrip pic.twitter.com/bMgJ0f18je	SuNoticiero
neutro	0.0	0.0	1.0	0.0	Gobierno de Ecuador: Se planea habilitar Albergues para migrantes venezolanos #NoticiasACN #Ecuador #Albergues #MiagrantesVenezolanos #Venezuela #Internacional #20jun http://acn.com.ve/ecuador-planea-habilitar-albergues-migrantes-venezolanos/ …pic.twitter.com/ugtl8nVC1a	Agencia Carabobeña de Noticias
neutro	0.0	0.0	1.0	0.0	#Video | Embajador en #Ecuador: migración venezolana activa bomba de tiempo en la región `* http://bit.ly/2zEmE9D	CaraotaDigital
neutro	0.0	0.0	1.0	0.0	['noticias']	"utm_campaign=ReviveOldPost"""" dir=""""ltr"""" href=""""https://t.co/5XA6zWxFFJ"""" rel=""""nofollow noopener"""" target=""""_blank"""" title=""""https://noti-america.com/site/2019/08/28/ultimos-migrantes-venezolanos-ingresan-a-ecuador-antes-del-requisito-de-visa/?utm_source=ReviveOldPost&amp"
neutro	0.0	0.0	1.0	0.0	Funvex de Ecuador recomendó a los migrantes venezolanos abstenerse de tomar parte en las protestas que se están produciendo en diferentes puntos del país http://bit.ly/2LIzXfK	El Pitazo
neutro	0.0	0.0	1.0	0.0	Venezolanos en Ecuador piden revisar ley que multa migración irregular!, por @SputnikInt http://ow.ly/oWAc30gFzkS pic.twitter.com/WezwwLLS2J	Venezuela Libre
neutro	0.0	0.0	1.0	0.0	Migración Colombia reporta normalidad en salida de venezolanos a Ecuador https://www.lapatilla.com/2019/08/24/migracion-colombia-reporta-normalidad-en-salida-de-venezolanos-a-ecuador/?utm_source=dlvr.it&utm_medium=twitter …pic.twitter.com/J5YyMfCM3b	MUNDOnoTICIAS
neutro	0.0	0.0	1.0	0.0	"""El chavismo manipula las verdades, hablan de Ecuador cuando en VENEZUELA son asesinos de venezolanos indefensos."	Oriana Carusso
neutro	0.0	0.0	1.0	0.0	Carrera contra el tiempo: Migrantes forzados venezolanos intentan pasar a Ecuador antes del lunes #26Ago http://bit.ly/2ZsP14S pic.twitter.com/iNcSs5IJV8	Contrapunto
neutro	0.0	0.099	0.901	-0.296	No pueden atender a los migrantes retornados ecuatorianos ni a los Venezolanos que ya están en Ecuador quieren traer más GOBIERNO DE INEPTOS	Joffrepinzon1
neutro	0.0	0.0	1.0	0.0	Ecuador planea habilitar albergues para migrantes venezolanos - http://www.elinformador.com.ve/2018/06/20/ecuador-planea-habilitar-albergues-para-migrantes-venezolanos/ …pic.twitter.com/3foKwLpBtl	El Informador Venezuela
neutro	0.0	0.0	1.0	0.0	#Internacionales Ecuador deportará a cinco inmigrantes ilegales venezolanos http://bit.ly/1dq98rX	Diario Avance
neutro	0.0	0.0	1.0	0.0	Migración Colombia pide a Ecuador revisar imposición de visa a venezolanos https://vozdeamerica.org/2019/09/05/migracion-colombia-pide-a-ecuador-revisar-imposicion-de-visa-a-venezolanos/ …pic.twitter.com/VuaqGfJGD8	EXTRA VENEZUELA
neutro	0.0	0.0	1.0	0.0	Ecuador abrirá corredor humanitario para migrantes venezolanos que tengan visa para un tercer país http://bit.ly/34EHZhf pic.twitter.com/LTxOHbGWqC	El Cooperante
neutro	0.0	0.0	1.0	0.0	Los ataques contra migrantes venezolanos en países como Ecuador y Perú se disparan Leer https://ift.tt/2PGFvK3	Aranza Sanz
neutro	0.0	0.0	1.0	0.0	"""#AHORA Christian Krüger, director de Migración Colombia: """"Los venezolanos se encontraron con la imposición de la visa para ingresar a Ecuador, lo cual dificulta su situación y la migración"""""""	Sumarium
neutro	0.0	0.0	1.0	0.0	"""Ecuador extendió la emergencia humanitaria por la alta migración venezolana"	El Cooperante
